City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
166,Sokoni,TZ,81.12,Clouds,-6.4333,39.55,Ujamaa Beach Resort
176,Cidreira,BR,75.43,Clouds,-30.1811,-50.2056,Hotel Castelo
178,Ahipara,NZ,75.43,Clouds,-35.1667,173.1667,Ahipara Holiday Park
179,Noumea,NC,85.98,Clouds,-22.2763,166.4572,Hôtel Le Lagon
188,Porlamar,VE,86.09,Clear,10.958,-63.8491,Hotel Bella Vista
195,Bubaque,GW,76.87,Clear,11.2833,-15.8333,"Casa Dora, Bubaque"
196,Manokwari,ID,81.7,Clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
197,Aracaju,BR,80.55,Clouds,-10.9111,-37.0717,HOTEL FÊNIX
198,Ko Samui,TH,87.71,Clouds,9.5357,99.9357,The Passage
201,Kyaikkami,MM,83.01,Clouds,16.08,97.5675,St. joseph catholic church
208,Souillac,MU,83.35,Rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
216,Mareeba,AU,86.72,Clouds,-17.0,145.4333,Trinity Plains Tourist Park
220,Tautira,PF,82.42,Rain,-17.7333,-149.15,Pension Oaoa
222,Maxixe,MZ,80.2,Clear,-23.8597,35.3472,Oceano
224,Punta Cardon,VE,77.29,Clear,11.6581,-70.215,Bambuda hotel
225,Alofi,NU,75.09,Clouds,-19.0595,-169.9187,Taloa Heights
234,Japura,ID,88.27,Clouds,-0.3167,102.35,Rumah mbah Jamah
237,Port Macquarie,AU,75.88,Rain,-31.4333,152.9167,Rydges Port Macquarie
240,Santarem,BR,75.33,Clouds,-2.4431,-54.7083,Ecotur Lodge
242,Sinnamary,GF,75.96,Rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
247,Nabire,ID,81.0,Clouds,-3.3667,135.4833,Hotel Nusantara Nabire
253,Teahupoo,PF,76.96,Rain,-17.8333,-149.2667,Vanira Lodge
261,Matara,LK,83.57,Clear,5.9485,80.5353,Amaloh Boutique Resort
272,Kimbe,PG,84.9,Rain,-5.5502,150.1429,Kimbe Bay Hotel
273,Bambous Virieux,MU,83.21,Rain,-20.3428,57.7575,Casa Tia Villa
277,Kaeo,NZ,75.33,Clouds,-35.1,173.7833,Bushido Lodge
289,Dubbo,AU,80.73,Clouds,-32.25,148.6167,Quality Inn Dubbo International
296,Sandakan,MY,85.68,Clouds,5.8402,118.1179,Hotel Sandakan
297,Port Shepstone,ZA,75.15,Rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
302,Le Port,RE,80.56,Rain,-20.9373,55.2919,KORBEY D'OR OUEST
307,Isangel,VU,82.72,Rain,-19.55,169.2667,Tanna Lodge
311,Kampot,KH,86.05,Clouds,10.6167,104.1833,Two Moons Hotel
314,Biak,ID,84.88,Clouds,-0.9131,122.8766,Penginapan Kim
316,Majene,ID,87.12,Clouds,-3.5403,118.9707,Kost Putri RABBANI
323,Mogadishu,SO,78.67,Clear,2.0371,45.3438,Hotel Juba
325,Road Town,VG,75.99,Clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
326,Muisne,EC,76.59,Clouds,0.6,-80.0333,Quinta Samay
327,Kloulklubed,PW,86.5,Clouds,7.0419,134.2556,Storyboard Beach Resort
328,Santo Tomas,PH,87.58,Clouds,14.1079,121.1414,Microtel by Wyndham Batangas
336,Bengkulu,ID,81.34,Clouds,-3.8004,102.2655,Grage Hotel Bengkulu
337,Akyab,MM,75.96,Clear,20.15,92.9,Hotel Memory
338,Nhulunbuy,AU,86.61,Clouds,-12.2333,136.7667,East Arnhem Real Estate
344,Ambilobe,MG,78.78,Rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
346,Byron Bay,AU,76.95,Rain,-28.65,153.6167,Backpackers Inn
349,Yulara,AU,85.84,Clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
357,Caravelas,BR,75.67,Clouds,-17.7125,-39.2481,Pousada dos Navegantes
364,Ilhabela,BR,75.22,Clouds,-23.7781,-45.3581,Ilha Flat Hotel
367,Pakxan,LA,85.01,Clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
368,Tamandare,BR,78.37,Clouds,-8.7597,-35.1047,Pousada 100 Passos
370,Yanam,IN,81.0,Clouds,16.7333,82.2167,The Regency Hotel
371,Pontianak,ID,87.78,Clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
375,Payo,ID,81.09,Clouds,-3.7508,103.6372,Mess keban agung
378,Pemba,MZ,80.33,Clouds,-12.974,40.5178,Guesthouse Samotina
382,San Policarpo,PH,75.72,Clouds,12.1791,125.5072,Agapita M. Nicart
386,Mbini,GQ,76.84,Clouds,1.574,9.6134,
388,Kirakira,SB,78.96,Clouds,-10.4544,161.9205,SanBiz Lodge
393,Galle,LK,82.17,Clouds,6.0367,80.217,Amangalla
397,Saint-Georges,GD,76.68,Clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
401,Oranjestad,AW,78.75,Clouds,12.524,-70.027,Divi Village Golf & Beach Resort
410,Cayenne,GF,79.09,Clouds,4.9333,-52.3333,Hôtel Le Dronmi
411,Portobelo,PA,76.86,Clouds,9.55,-79.65,Scuba Portobelo
416,Morant Bay,JM,76.62,Clear,17.8815,-76.4093,Whispering Bamboo Cove Resort
422,Beloha,MG,85.15,Clear,-25.1667,45.05,
425,Amnat Charoen,TH,87.39,Clouds,15.9167,104.75,หอพักนักศึกษา
427,Angoche,MZ,81.64,Clouds,-16.2325,39.9086,Guest House HESADA
431,La Asuncion,VE,85.73,Clear,11.0333,-63.8628,Colinas de Matasiete
442,Saint-Paul,RE,80.69,Rain,-21.0096,55.2707,Boucan Canot
445,Loikaw,MM,81.32,Clear,19.6742,97.2094,Myat Nan Taw Hotel
450,Ambulu,ID,85.39,Clouds,-8.345,113.6058,Hotel Ambulu Jember
452,Flinders,AU,75.2,Clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
460,Cockburn Town,TC,75.4,Clear,21.4612,-71.1419,Osprey Beach Hotel
462,Kudahuvadhoo,MV,81.54,Clouds,2.6708,72.8944,Niyama Private Islands Maldives
465,Chotepe,HN,75.11,Clouds,15.4167,-87.9833,Casa de Cesar Molina
466,Bartica,GY,75.52,Clouds,6.4,-58.6167,Sloth Island Nature Resort
472,Toamasina,MG,82.4,Clouds,-18.1667,49.3833,Hotel H1
474,Oistins,BB,75.29,Clouds,13.0667,-59.5333,Butterfly Beach Hotel
477,Simplicio Mendes,BR,78.4,Clouds,-7.8539,-41.9103,Fidalgo
483,Vao,NC,76.12,Clouds,-22.6667,167.4833,Hotel Kou-Bugny
485,Acapulco,MX,75.02,Clear,16.8634,-99.8901,HS Hotsson Smart Acapulco
487,Santa Rosa,PH,89.11,Clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
491,Careiro Da Varzea,BR,79.41,Clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
497,Iracoubo,GF,75.81,Rain,5.4802,-53.2011,Le Gîte d’Iracoubo
500,Vangaindrano,MG,78.87,Rain,-23.35,47.6,Hotel Fanilo
501,Ambon,ID,87.94,Clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
510,Playa Del Carmen,MX,78.75,Clouds,20.6274,-87.0799,Hotel Kinbe
516,Broken Hill,AU,76.71,Clear,-31.95,141.4333,Royal Exchange Hotel
517,Puerto Narino,CO,75.15,Clouds,-3.7703,-70.3831,Eware Refugio Amazonico
520,Resistencia,AR,75.18,Clear,-27.4606,-58.9839,Niyat Urban Hotel
531,Ternate,ID,84.29,Clouds,0.8,127.4,Sahid Bela Ternate Hotel
